1EO8	A	1968	A/Aichi/2/1968
1HA0	A	1968	A/Aichi/2/1968
1HGD	A	1968	A/Aichi/2/1968
1HGE	A	1968	A/Aichi/2/1968
1HGF	A	1968	A/Aichi/2/1968
1HGG	A	1968	A/Aichi/2/1968
1HGH	A	1968	A/Aichi/2/1968
1HGI	A	1968	A/Aichi/2/1968
1HGJ	A	1968	A/Aichi/2/1968
1KEN	A	1968	A/Aichi/2/1968,A/Puerto Rico/8/34(lab reassortant)
1QFU	A	1968	A/Aichi/2/1968,A/Puerto Rico/8/34(lab reassortant)
2HMG	A	1968	A/Aichi/2/1968
2VIU	A	1968	A/Aichi/2/1968
2YP7	A	2005	A/Malaysia/33386/2005
2YP8	A	2005	A/Malaysia/33386/2005
2YP9	A	2005	A/Malaysia/33386/2005
2YPG	A	1968	A/Aichi/2/1968
3EYM	A	1968	A/Aichi/2/1968
3HMG	A	1968	A/Aichi/2/1968
3SDY	A	1968	A/Hong Kong/1/68
3VUN	A	1968	A/Aichi/2/1968
3WHE	A	1968	A/Aichi/2-1/1968
3ZTJ	A	1968	A/Hong Kong/1/68
4FNK	A	1968	A/Hong Kong/1/68
4FQR	A	1968	A/Hong Kong/1/68
4FQY	A	1968	A/Hong Kong/1/68
4GMS	A	1975	A/Victoria/3/1975
4HMG	A	1968	A/Aichi/2/1968
4KVN	A	2009	A/Perth/16/2009
4NM8	A	1968	A/Hong Kong/1/68
4O58	A	1975	A/Victoria/3/1975
4O5I	A	2011	A/Singapore/H2011.447/2011
4O5N	A	2011	A/Singapore/H2011.447/2011
4UBD	A	1968	A/Hong Kong/1/68
4WE4	A	1968	A/Hong Kong/1/68
4WE5	A	1973	A/Port Chalmers/1/73,A/Port chalmers/1/1973
4WE8	A	2011	A/Singapore/H2011.447/2011
4WE9	A	2011	A/Singapore/H2011.447/2011
4WEA	A	2011	A/Singapore/H2011.447/2011
4ZCJ	A	1968	A/Hong Kong/1/68
5HMG	A	1968	A/Aichi/2/1968
5K9K	F	1968	A/Hong Kong/1/68
5K9Q	A	1968	A/Hong Kong/1/68
5KAN	A	1968	A/Hong Kong/1/68
5T6N	A	1968	A/Hong Kong/1/68,A/NT/60/68/29c
5VTQ	A	1968	A/Hong Kong/1968 
5VTR	A	1968	A/Hong Kong/1968 
5VTU	A	1968	A/Hong Kong/1968 
5VTV	A	1968	A/Hong Kong/1968 
5VTW	A	1968	A/Hong Kong/1968 
5VTX	A	1968	A/Hong Kong/1968 
5VTY	A	1968	A/Hong Kong/1968 
5VTZ	A	1968	A/Hong Kong/1968 
5VU4	A	1968	A/Hong Kong/1968
